SCS 1
AGL Experiment
2/23/2017	12:39:15 PM

Participant	Participant	Session	Block	Block	Trial	Trial	Event	Event	Cumulative	Participant	Input			Pressed Or	X	Y	Correct	Error	Reaction
Group	Name	ID	Name	No.	Name	No.	Name	No.	Time	Response	String	Key	Key	Released	Position	Position	Response	Code	Time	Answers
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Test1, 7	105	RE String Test (7, CBABBBD)	58	523162	1		1					1; 2; 3; 4	C	2826	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Test1, 9	107	RE String Test (9, DCAAD)	60	526417	1		1					1; 2; 3; 4	C	3248	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Test1, 12	110	RE String Test (12, AACABABD)	63	542137	2		2					1; 2; 3; 4	C	15718	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Test1, 16	114	RE String Test (16, DACDACDD)	67	553553	2		2					1; 2; 3; 4	C	11401	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Test1, 22	120	RE String Test (22, CDBABB)	73	558537	1		1					1; 2; 3; 4	C	4968	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Test1, 10	108	RE String Test (10, ACBAAD)	61	561217	1		1					1; 2; 3; 4	C	2665	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Test1, 6	104	RE String Test (6, ADDACD)	57	564969	4		4					1; 2; 3; 4	C	3750	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Test1, 1	99	RE String Test (1, ADACD)	52	578833	2		2					1; 2; 3; 4	C	13847	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Test1, 11	109	RE String Test (11, DCAABAD)	62	586689	1		1					1; 2; 3; 4	C	7854	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Test1, 8	106	RE String Test (8, DACBAABD)	59	597465	1		1					1; 2; 3; 4	C	10763	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Test1, 14	112	RE String Test (14, ABACDD)	65	602969	1		1					1; 2; 3; 4	C	5485	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Test1, 20	118	RE String Test (20, AACAABCD)	71	608825	1		1					1; 2; 3; 4	C	5840	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Test1, 3	101	RE String Test (3, DDADACD)	54	618313	2		2					1; 2; 3; 4	C	9478	
RE SCS	SCS 1	SCS 1	RE SCS	1	RE String Test1, 18	116	RE String Test (18, CDADAD)	69	625241	3		3					1; 2; 3; 4	C	6923	
RE SCS	SCS 1	SCS 1	RE SCS	1	Debriefing	123	Debriefing	76	640641	space		 					space	C	15374	
