"pid";"grammar";"s_type";"stimulus";"response";"reaction_time";"cs";"grammatical";"accuracy"
11;1;1;10;1;3302;3;1;0
11;1;1;11;3;5149;3;1;1
11;1;1;12;4;2897;3;1;1
11;1;1;13;1;4939;1;0;1
11;1;1;14;4;5447;1;0;0
11;1;1;15;3;5463;1;0;0
11;1;1;16;1;2676;1;0;1
11;1;1;17;3;5016;2;0;0
11;1;1;18;2;4176;2;0;1
11;1;1;19;2;3729;2;0;1
11;1;1;20;1;4700;2;0;1
11;1;1;21;4;5337;3;0;0
11;1;1;22;4;4236;3;0;0
11;1;1;23;3;3350;3;0;0
11;1;1;24;4;7162;3;0;0
12;1;1;1;3;2112;1;1;1
12;1;1;2;3;1227;1;1;1
12;1;1;3;3;1008;1;1;1
12;1;1;4;3;3734;1;1;1
12;1;1;5;2;9261;2;1;0
12;1;1;6;4;4889;2;1;1
12;1;1;7;2;10618;2;1;0
12;1;1;8;3;1589;2;1;1
12;1;1;9;2;3267;3;1;0
12;1;1;10;2;3322;3;1;0
12;1;1;11;3;1512;3;1;1
12;1;1;12;3;2390;3;1;1
12;1;1;13;2;1790;1;0;1
12;1;1;14;3;1580;1;0;0
12;1;1;15;1;4648;1;0;1
12;1;1;16;3;1005;1;0;0
12;1;1;17;4;4669;2;0;0
12;1;1;18;3;1978;2;0;0
12;1;1;19;2;1339;2;0;1
12;1;1;20;3;3061;2;0;0
12;1;1;21;3;2150;3;0;0
12;1;1;22;3;2574;3;0;0
12;1;1;23;2;3395;3;0;1
12;1;1;24;4;2357;3;0;0
