"pid";"grammar";"s_type";"stimulus";"response";"reaction_time";"cs";"grammatical";"accuracy"
11;2;2;8;3;2059;2;1;1
11;2;2;9;1;4922;3;1;0
11;2;2;10;3;1939;3;1;1
11;2;2;11;3;2318;3;1;1
11;2;2;12;2;3459;3;1;0
11;2;2;13;2;906;1;0;1
11;2;2;14;3;9686;1;0;0
11;2;2;15;1;2775;1;0;1
11;2;2;16;3;1869;1;0;0
11;2;2;17;3;4016;2;0;0
11;2;2;18;3;1055;2;0;0
11;2;2;19;2;3610;2;0;1
11;2;2;20;3;3320;2;0;0
11;2;2;21;3;1629;3;0;0
11;2;2;22;1;1552;3;0;1
11;2;2;23;2;4167;3;0;1
11;2;2;24;3;4013;3;0;0
12;2;2;1;2;5442;1;1;0
12;2;2;2;3;17791;1;1;1
12;2;2;3;3;7449;1;1;1
12;2;2;4;2;1232;1;1;0
12;2;2;5;1;9072;2;1;0
12;2;2;6;4;10110;2;1;1
12;2;2;7;4;4392;2;1;1
12;2;2;8;3;1463;2;1;1
12;2;2;9;3;7662;3;1;1
12;2;2;10;2;1966;3;1;0
12;2;2;11;2;9333;3;1;0
12;2;2;12;1;4130;3;1;0
12;2;2;13;3;14308;1;0;0
12;2;2;14;1;2094;1;0;1
12;2;2;15;2;3095;1;0;1
12;2;2;16;4;1591;1;0;0
12;2;2;17;3;3152;2;0;0
12;2;2;18;2;2746;2;0;1
12;2;2;19;1;1706;2;0;1
12;2;2;20;3;6518;2;0;0
12;2;2;21;4;1557;3;0;0
12;2;2;22;4;4040;3;0;0
12;2;2;23;4;9450;3;0;0
12;2;2;24;3;1434;3;0;0
