"pid";"grammar";"s_type";"stimulus";"response";"reaction_time";"cs";"grammatical";"accuracy"
11;2;1;10;1;3364;3;1;0
11;2;1;11;2;5145;3;1;0
11;2;1;12;2;1607;3;1;0
11;2;1;13;3;1915;1;0;0
11;2;1;14;1;2556;1;0;1
11;2;1;15;1;1229;1;0;1
11;2;1;16;2;1115;1;0;1
11;2;1;17;2;2031;2;0;1
11;2;1;18;1;1361;2;0;1
11;2;1;19;2;4368;2;0;1
11;2;1;20;3;5213;2;0;0
11;2;1;21;1;1909;3;0;1
11;2;1;22;4;2272;3;0;0
11;2;1;23;2;4895;3;0;1
11;2;1;24;1;4501;3;0;1
12;2;1;1;3;3281;1;1;1
12;2;1;2;3;3775;1;1;1
12;2;1;3;3;4854;1;1;1
12;2;1;4;2;3768;1;1;0
12;2;1;5;4;3834;2;1;1
12;2;1;6;4;3169;2;1;1
12;2;1;7;1;2536;2;1;0
12;2;1;8;4;3670;2;1;1
12;2;1;9;3;4886;3;1;1
12;2;1;10;1;3513;3;1;0
12;2;1;11;3;5313;3;1;1
12;2;1;12;3;4531;3;1;1
12;2;1;13;3;7701;1;0;0
12;2;1;14;2;1960;1;0;1
12;2;1;15;2;5010;1;0;1
12;2;1;16;2;3132;1;0;1
12;2;1;17;3;3043;2;0;0
12;2;1;18;3;6186;2;0;0
12;2;1;19;2;5065;2;0;1
12;2;1;20;4;8212;2;0;0
12;2;1;21;1;4619;3;0;1
12;2;1;22;4;3463;3;0;0
12;2;1;23;1;2066;3;0;1
12;2;1;24;2;7862;3;0;1
