4
AGL Experiment
2/24/2017	12:58:14 PM

Participant	Participant	Session	Block	Block	Trial	Trial	Event	Event	Cumulative	Participant	Input			Pressed Or	X	Y	Correct	Error	Reaction
Group	Name	ID	Name	No.	Name	No.	Name	No.	Time	Response	String	Key	Key	Released	Position	Position	Response	Code	Time	Answers
RE SSC	4	4	RE SSC	1	RE String Training2, 18	67	RE String Training (18, DCBBBAD)	19	328881	DCBBBAD	DCBBBAD						DCBBBAD	C	1658	
RE SSC	4	4	RE SSC	1	RE String Training2, 22	71	RE String Training (22, BDAAAAAD)	23	334713	BDAAAAAD	BDAAAAAD						BDAAAAAD	C	2701	
RE SSC	4	4	RE SSC	1	RE String Training2, 19	68	RE String Training (19, DAAADDBA)	20	338017	DAAADDBA	DAAADDBA						DAAADDBA	C	900	
RE SSC	4	4	RE SSC	1	RE String Training2, 3	52	RE String Training (3, CBBBD)	4	340329	CBBBD	CBBBD						CBBBD	C	792	
RE SSC	4	4	RE SSC	1	Middle Instruction	74	Middle Instruction	26	362108	space		 					space	C	21739	
RE SSC	4	4	RE SSC	1	Middle Instruction	74	Middle Instruction 2	27	372788	space		 					space	C	10668	
RE SSC	4	4	RE SSC	1	RE String Test, 8	82	RE String Test (8, DACBAABD)	35	374724	1		1					1; 2; 3; 4	C	1921	
RE SSC	4	4	RE SSC	1	RE String Test, 6	80	RE String Test (6, ADDACD)	33	378716	3		3					1; 2; 3; 4	C	3980	
RE SSC	4	4	RE SSC	1	RE String Test, 10	84	RE String Test (10, ACBAAD)	37	383468	2		2					1; 2; 3; 4	C	4733	
RE SSC	4	4	RE SSC	1	RE String Test, 17	91	RE String Test (17, BADCD)	44	386492	3		3					1; 2; 3; 4	C	3022	
RE SSC	4	4	RE SSC	1	RE String Test, 13	87	RE String Test (13, AACCD)	40	388588	3		3					1; 2; 3; 4	C	2085	
RE SSC	4	4	RE SSC	1	RE String Test, 21	95	RE String Test (21, ABADA)	48	390092	1		1					1; 2; 3; 4	C	1489	
RE SSC	4	4	RE SSC	1	RE String Test, 1	75	RE String Test (1, ADACD)	28	394756	2		2					1; 2; 3; 4	C	4653	
RE SSC	4	4	RE SSC	1	RE String Test, 18	92	RE String Test (18, CDADAD)	45	396836	2		2					1; 2; 3; 4	C	2067	
RE SSC	4	4	RE SSC	1	RE String Test, 7	81	RE String Test (7, CBABBBD)	34	398916	3		3					1; 2; 3; 4	C	2064	
RE SSC	4	4	RE SSC	1	RE String Test, 3	77	RE String Test (3, DDADACD)	30	400284	3		3					1; 2; 3; 4	C	1365	
RE SSC	4	4	RE SSC	1	RE String Test, 15	89	RE String Test (15, BACCDCD)	42	402300	2		2					1; 2; 3; 4	C	2014	
RE SSC	4	4	RE SSC	1	RE String Test, 19	93	RE String Test (19, DBCCBBD)	46	404428	3		3					1; 2; 3; 4	C	2125	
RE SSC	4	4	RE SSC	1	RE String Test, 11	85	RE String Test (11, DCAABAD)	38	405564	3		3					1; 2; 3; 4	C	1128	
RE SSC	4	4	RE SSC	1	RE String Test, 5	79	RE String Test (5, DCBAD)	32	406796	2		2					1; 2; 3; 4	C	1227	
RE SSC	4	4	RE SSC	1	RE String Test, 23	97	RE String Test (23, ADBBDDB)	50	408692	4		4					1; 2; 3; 4	C	1889	
RE SSC	4	4	RE SSC	1	RE String Test, 2	76	RE String Test (2, DDACBD)	29	412852	3		3					1; 2; 3; 4	C	4134	
RE SSC	4	4	RE SSC	1	RE String Test, 24	98	RE String Test (24, DBDABADA)	51	414476	4		4					1; 2; 3; 4	C	1608	
RE SSC	4	4	RE SSC	1	RE String Test, 16	90	RE String Test (16, DACDACDD)	43	418340	2		2					1; 2; 3; 4	C	3854	
RE SSC	4	4	RE SSC	1	RE String Test, 12	86	RE String Test (12, AACABABD)	39	420604	3		3					1; 2; 3; 4	C	2236	
RE SSC	4	4	RE SSC	1	RE String Test, 20	94	RE String Test (20, AACAABCD)	47	421812	3		3					1; 2; 3; 4	C	1193	
RE SSC	4	4	RE SSC	1	RE String Test, 14	88	RE String Test (14, ABACDD)	41	424716	3		3					1; 2; 3; 4	C	2897	
RE SSC	4	4	RE SSC	1	RE String Test, 9	83	RE String Test (9, DCAAD)	36	426588	3		3					1; 2; 3; 4	C	1869	
RE SSC	4	4	RE SSC	1	RE String Test, 4	78	RE String Test (4, DDDDDACD)	31	428380	1		1					1; 2; 3; 4	C	1778	
RE SSC	4	4	RE SSC	1	RE String Test, 22	96	RE String Test (22, CDBABB)	49	433004	3		3					1; 2; 3; 4	C	4618	
